tipo_real,followers_count,following_count,tweet_count,listed_count,antiguedad_dias,has_description,len_description,has_location,has_url,verified,protected,id_seudonimizado,ratio_rep,Score_RF_Cuenta,degree,betweenness_centrality,cluster_comunidad,score_botometer,Score_Amenaza_OSINT,Clasificacion_Final,Escenario,origen_score_botometer,cohorte,origen_etiqueta
Bot Clásico,25,1270,11734,0,20,0,0,0,0,0,0,User_3299a54b,0.019669551534225,0.5084189343854127,1,0.0,0,0.5,0.2753,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,17,1169,11146,0,49,0,0,0,0,0,0,User_9b47bd5e,0.0145299145299145,0.5627242812356527,1,0.0,0,0.5,0.2915,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,16,1493,4201,0,37,0,0,0,0,0,0,User_f1c0fe65,0.0107095046854083,0.4978948052709349,1,0.0,0,0.5,0.2721,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,9,884,6265,0,58,0,0,0,0,0,0,User_9cdd06e3,0.0101694915254237,0.5006830336375977,1,0.0,0,0.5,0.2729,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,19,1310,11472,0,32,0,0,0,0,0,0,User_563842e2,0.0144927536231884,0.5392513176936009,1,0.0,0,0.5,0.2845,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,11,931,6456,0,30,0,0,0,0,0,0,User_ff293375,0.0118025751072961,0.5412492894036787,1,0.0,0,0.5,0.2851,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,7,928,6216,0,13,0,0,0,0,0,0,User_bb0673a8,0.007534983853606,0.4596139391158702,1,0.0,0,0.5,0.2606,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,16,1216,6954,0,13,0,0,0,0,0,0,User_f9b68fbd,0.0131470829909613,0.53391566847222,1,0.0,0,0.5,0.2829,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,25,752,8182,0,45,0,0,0,0,0,0,User_79eab382,0.0332005312084993,0.5598578587001886,1,0.0,0,0.5,0.2907,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Bot Clásico,12,1154,9021,0,27,0,0,0,0,0,0,User_25764948,0.0103896103896103,0.4968173206608633,1,0.0,0,0.5,0.2718,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Nodo Central Difusión,5000,200,1200,15,800,1,80,1,1,0,0,User_40d2644f,24.875621890547265,0.0301561016412021,11,1.0,0,0.5,0.609,Nodo Puente / Coordinador,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Humano Orgánico,300,250,800,2,900,1,50,1,0,0,0,User_f705219b,1.195219123505976,0.0562537612876528,1,0.0,0,0.5,0.1396,Comportamiento Orgánico / Humano,Caso 1: Granja Clásica de Retuits,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,973,901,1533,13,831,1,95,1,1,0,0,User_35f14d57,1.0787139689578713,0.0282790308773114,8,0.2037037037037036,0,0.5,0.4094,Nodo Puente / Coordinador,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,1787,506,4161,11,871,1,95,1,1,0,0,User_594f35d0,3.52465483234714,0.0177536420521333,7,0.0,0,0.5,0.3241,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,957,536,4406,6,819,1,95,1,1,0,0,User_3a75d1ba,1.782122905027933,0.0206037260393853,7,0.0138888888888888,0,0.5,0.3284,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,1133,768,3768,8,543,1,95,1,1,0,0,User_442df9f7,1.4733420026007802,0.0231265091828657,7,0.0,0,0.5,0.3257,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
Social Bot Avanzado,1205,1151,3615,7,478,1,95,1,1,0,0,User_dc453301,1.0460069444444444,0.0370054868522028,7,0.0,0,0.5,0.3299,Comportamiento Orgánico / Humano,Caso 2: Astroturfing Social Bots,sustituto_neutral_0.5,escenario_sintetico,generador_sintetico
