component,accounts,positive_accounts,edges
1,717,693,20033
2,175,175,5668
3,102,102,1495
4,95,94,517
5,74,74,912
6,56,54,523
7,26,26,291
8,25,25,275
9,25,25,285
10,25,25,281
11,25,25,211
12,24,24,256
13,16,0,15
14,14,14,55
15,10,0,9
16,10,10,28
17,9,0,34
18,9,0,11
19,9,9,36
20,7,0,6
21,7,7,8
22,6,0,5
23,6,0,7
24,6,0,15
25,6,0,11
26,4,0,4
27,4,0,4
28,4,0,3
29,4,4,6
30,4,0,4
31,4,0,3
32,4,0,6
33,3,0,3
34,3,0,2
35,3,0,3
36,3,0,3
37,3,0,3
38,3,0,2
39,3,0,2
40,3,0,2
41,3,0,2
42,3,0,2
43,3,0,2
44,3,0,2
45,3,0,2
46,3,0,3
47,3,0,2
48,3,0,3
49,3,0,2
50,3,0,2
51,3,0,3
52,3,0,3
53,3,3,2
54,3,0,3
55,3,0,3
56,3,0,3
57,3,0,2
58,3,0,3
59,3,0,2
60,3,0,3
61,3,0,3
62,3,0,2
63,3,0,3
64,3,0,3
65,3,3,3
66,2,0,1
67,2,0,1
68,2,0,1
69,2,0,1
70,2,0,1
71,2,0,1
72,2,0,1
73,2,0,1
74,2,0,1
75,2,0,1
76,2,0,1
77,2,0,1
78,2,0,1
79,2,0,1
80,2,0,1
81,2,0,1
82,2,0,1
83,2,0,1
84,2,0,1
85,2,0,1
86,2,0,1
87,2,0,1
88,2,0,1
89,2,0,1
90,2,0,1
91,2,0,1
92,2,0,1
93,2,0,1
94,2,0,1
95,2,0,1
96,2,0,1
97,2,0,1
98,2,0,1
99,2,0,1
100,2,0,1
101,2,0,1
102,2,0,1
103,2,0,1
104,2,0,1
105,2,0,1
106,2,0,1
107,2,0,1
108,2,0,1
109,2,0,1
110,2,0,1
111,2,0,1
112,2,0,1
113,2,0,1
114,2,0,1
115,2,0,1
116,2,0,1
117,2,0,1
118,2,0,1
119,2,0,1
120,2,2,1
121,2,0,1
122,2,0,1
123,2,0,1
124,2,0,1
125,2,0,1
126,2,0,1
127,2,2,1
128,2,2,1
129,2,0,1
130,2,0,1
131,2,2,1
132,2,0,1
133,2,0,1
134,2,0,1
135,2,0,1
136,2,0,1
137,2,0,1
138,2,0,1
139,2,0,1
140,2,0,1
141,2,0,1
142,2,0,1
143,2,0,1
144,2,0,1
145,2,0,1
146,2,0,1
147,2,0,1
148,2,0,1
149,2,0,1
150,2,0,1
151,2,0,1
152,2,0,1
153,2,0,1
154,2,0,1
155,2,0,1
156,2,0,1
157,2,0,1
158,2,0,1
159,2,0,1
160,2,0,1
161,2,0,1
162,2,0,1
163,2,0,1
164,2,0,1
165,2,0,1
166,2,0,1
167,2,0,1
168,2,0,1
169,2,0,1
170,2,0,1
171,2,0,1
172,2,0,1
173,2,0,1
174,2,0,1
175,2,0,1
176,2,0,1
177,2,0,1
178,2,0,1
179,2,0,1
180,2,0,1
181,2,0,1
182,2,0,1
183,2,0,1
184,2,0,1
185,2,0,1
186,2,0,1
187,2,0,1
188,2,0,1
189,2,0,1
190,2,0,1
191,2,0,1
192,2,0,1
193,2,0,1
194,2,0,1
195,2,0,1
196,2,0,1
197,2,0,1
198,2,0,1
199,2,0,1
200,2,0,1
201,2,0,1
202,2,0,1
203,2,0,1
204,2,0,1
205,2,0,1
206,2,0,1
207,2,0,1
208,2,0,1
209,2,0,1
210,2,0,1
211,2,0,1
212,2,0,1
213,2,0,1
214,2,0,1
215,2,0,1
216,2,0,1
217,2,0,1
