component,accounts,positive_accounts,edges
1,616,369,1852
2,48,0,61
3,47,0,55
4,32,32,74
5,26,26,107
6,26,26,35
7,26,26,132
8,25,25,176
9,25,25,50
10,24,24,89
11,24,24,202
12,23,23,47
13,23,23,35
14,22,0,140
15,21,0,104
16,21,21,52
17,20,20,177
18,15,15,42
19,13,0,78
20,13,0,12
21,12,0,11
22,10,10,13
23,9,0,9
24,9,9,12
25,8,8,12
26,8,0,9
27,7,0,6
28,7,7,6
29,6,0,15
30,6,6,5
31,6,6,5
32,6,0,15
33,6,0,10
34,6,0,5
35,5,5,5
36,5,0,5
37,5,5,4
38,5,5,5
39,5,0,4
40,5,5,5
41,5,5,8
42,4,4,3
43,4,4,3
44,4,0,3
45,4,0,6
46,4,0,3
47,4,4,3
48,4,0,4
49,4,4,3
50,4,0,3
51,4,4,3
52,4,0,3
53,4,0,4
54,4,0,3
55,4,0,3
56,4,0,3
57,4,0,4
58,4,0,3
59,3,0,2
60,3,0,3
61,3,0,2
62,3,0,3
63,3,0,3
64,3,3,2
65,3,0,3
66,3,3,3
67,3,3,2
68,3,3,2
69,3,0,3
70,3,0,2
71,3,0,2
72,3,0,2
73,3,0,2
74,3,0,3
75,3,0,2
76,3,3,3
77,3,3,2
78,3,3,2
79,3,3,2
80,3,3,2
81,3,3,2
82,3,3,2
83,3,3,3
84,3,3,2
85,3,3,2
86,3,3,2
87,3,3,2
88,3,3,2
89,3,3,2
90,3,0,2
91,3,3,2
92,3,3,2
93,3,3,2
94,3,3,2
95,3,0,3
96,3,0,2
97,3,3,2
98,3,3,3
99,3,0,2
100,3,0,3
101,3,0,2
102,3,0,3
103,3,0,2
104,3,0,2
105,3,0,3
106,3,0,2
107,3,0,2
108,3,0,3
109,3,0,2
110,3,0,3
111,3,0,3
112,3,0,2
113,3,0,3
114,3,0,2
115,3,0,2
116,3,0,2
117,3,0,2
118,3,0,2
119,3,0,2
120,3,0,2
121,3,0,2
122,3,0,3
123,2,0,1
124,2,0,1
125,2,0,1
126,2,0,1
127,2,0,1
128,2,0,1
129,2,0,1
130,2,0,1
131,2,0,1
132,2,0,1
133,2,0,1
134,2,0,1
135,2,0,1
136,2,0,1
137,2,0,1
138,2,0,1
139,2,0,1
140,2,0,1
141,2,0,1
142,2,0,1
143,2,0,1
144,2,0,1
145,2,2,1
146,2,0,1
147,2,0,1
148,2,0,1
149,2,0,1
150,2,2,1
151,2,0,1
152,2,2,1
153,2,2,1
154,2,2,1
155,2,2,1
156,2,0,1
157,2,0,1
158,2,0,1
159,2,0,1
160,2,0,1
161,2,0,1
162,2,0,1
163,2,0,1
164,2,0,1
165,2,0,1
166,2,2,1
167,2,0,1
168,2,0,1
169,2,0,1
170,2,2,1
171,2,2,1
172,2,2,1
173,2,2,1
174,2,2,1
175,2,2,1
176,2,2,1
177,2,2,1
178,2,2,1
179,2,2,1
180,2,2,1
181,2,2,1
182,2,2,1
183,2,2,1
184,2,2,1
185,2,2,1
186,2,2,1
187,2,0,1
188,2,0,1
189,2,0,1
190,2,2,1
191,2,2,1
192,2,0,1
193,2,2,1
194,2,2,1
195,2,2,1
196,2,0,1
197,2,2,1
198,2,2,1
199,2,2,1
200,2,0,1
201,2,2,1
202,2,0,1
203,2,0,1
204,2,2,1
205,2,2,1
206,2,2,1
207,2,2,1
208,2,2,1
209,2,0,1
210,2,0,1
211,2,0,1
212,2,0,1
213,2,0,1
214,2,0,1
215,2,2,1
216,2,0,1
217,2,0,1
218,2,0,1
219,2,0,1
220,2,0,1
221,2,0,1
222,2,0,1
223,2,0,1
224,2,0,1
225,2,0,1
226,2,0,1
227,2,0,1
228,2,0,1
229,2,0,1
230,2,0,1
231,2,0,1
232,2,0,1
233,2,0,1
234,2,0,1
235,2,0,1
236,2,0,1
237,2,0,1
238,2,0,1
239,2,0,1
240,2,0,1
241,2,0,1
242,2,0,1
243,2,0,1
244,2,0,1
245,2,0,1
246,2,0,1
247,2,0,1
248,2,0,1
249,2,0,1
250,2,0,1
251,2,0,1
252,2,0,1
253,2,0,1
254,2,0,1
255,2,0,1
256,2,0,1
257,2,0,1
258,2,0,1
259,2,0,1
260,2,0,1
261,2,0,1
262,2,0,1
263,2,0,1
264,2,0,1
265,2,0,1
266,2,0,1
267,2,0,1
268,2,0,1
269,2,0,1
270,2,0,1
271,2,0,1
272,2,0,1
273,2,0,1
274,2,0,1
275,2,0,1
276,2,0,1
277,2,0,1
278,2,0,1
279,2,0,1
280,2,0,1
281,2,0,1
282,2,0,1
283,2,0,1
284,2,0,1
285,2,0,1
286,2,0,1
287,2,0,1
288,2,0,1
289,2,0,1
290,2,0,1
291,2,0,1
292,2,0,1
293,2,0,1
294,2,0,1
295,2,0,1
296,2,0,1
297,2,0,1
298,2,0,1
299,2,0,1
300,2,0,1
301,2,0,1
302,2,0,1
303,2,0,1
304,2,0,1
305,2,0,1
306,2,0,1
307,2,0,1
308,2,0,1
309,2,0,1
310,2,0,1
311,2,0,1
312,2,0,1
313,2,0,1
314,2,0,1
315,2,0,1
